ICR,Race,TwoBlocks
16003724,White,0
16003732,White,0
16003733,White,0
16003734,White,0
16003745,White,0
16003762,White,0
16003778,White,0
16003781,White,0
16003782,White,0
16003793,White,0
16003810,White,0
16003809,White,0
16003825,White,0
16003840,White,0
16003844,White,0
16003866,White,0
16003872,White,0
16003872,White,0
16003874,White,0
16003460,White,0
16003909,White,0
16003921,White,0
16003929,White,0
16003934,White,0
16003950,White,0
16003812,White,0
16003952,White,0
16003972,White,0
16003994,White,0
16003997,White,0
16003999,White,0
16004019,White,0
16004027,White,0
16004036,White,0
16004051,White,0
16004057,White,0
16004062,White,0
16004127,White,0
16004137,White,0
16004146,White,0
16004146,White,0
16004155,White,0
16004165,White,0
16004166,White,0
16004165,White,0
16004181,White,0
16004120,White,0
16004210,White,0
16004225,White,0
16004235,White,0
16004274,White,0
16004244,White,0
16004284,White,0
16004294,White,0
16004328,White,0
16004346,White,0
16004352,White,0
16004093,White,0
16004361,White,0
16004365,White,0
16004367,White,0
16004383,White,0
16004161,White,0
16004416,White,0
16004418,White,0
16004161,White,0
16004341,White,0
16004434,White,0
16004439,White,0
16004449,White,0
16004448,White,0
16004472,White,0
16004475,White,0
16004478,White,0
16004500,White,0
16004500,White,0
16004509,White,0
16004532,White,0
16004544,White,0
16004564,White,0
16004611,White,0
16004611,White,0
16004611,White,0
16004637,White,0
16004642,White,0
16004646,White,0
16004709,White,0
16004717,White,0
16004755,White,0
16004757,White,0
16004760,White,0
16004803,White,0
16004809,White,0
16004822,White,0
16004845,White,0
16004849,White,0
16004873,White,0
16004876,White,0
16004883,White,0
16004953,White,0
16004951,White,0
16004977,White,0
16004981,White,0
16004987,White,0
16004994,White,0
16005009,White,0
16005011,White,0
16005015,White,0
16005030,White,0
16005031,White,0
16005044,White,0
16005054,White,0
16005061,White,0
16005079,White,0
16005061,White,0
16005099,White,0
16005104,White,0
16005154,White,0
16005166,White,0
16005183,White,0
16005184,White,0
16005200,White,0
16005201,White,0
16005207,White,0
16005210,White,0
16005215,White,0
16005216,White,0
16005217,White,0
16005217,White,0
16005217,White,0
16005217,White,0
16005225,White,0
16005238,White,0
16005247,White,0
16005283,White,0
16004710,White,0
16005296,White,0
16005300,White,0
16005301,White,0
16005329,White,0
16005351,White,0
16005379,White,0
16005383,White,0
16005411,White,0
16005417,White,0
16005428,White,0
16005443,White,0
16005444,White,0
16005454,White,0
16005478,White,0
16005491,White,0
16005501,White,0
16005523,White,0
16005583,White,0
16005593,White,0
16005594,White,0
16005597,White,0
16005626,White,0
16005673,White,0
16005686,White,0
16005688,White,0
16005696,White,0
16005704,White,0
16005707,White,0
16005718,White,0
16005720,White,0
16005722,White,0
15000001,Black,0
15000005,Black,0
15000011,Black,0
15000010,Black,0
15000049,Black,0
15000062,Black,0
15000068,Black,0
15000069,Black,0
15000069,Black,0
15000077,Black,0
15000111,Black,0
15000124,Black,0
15000132,Black,0
15000151,Black,0
15000239,Black,0
15000260,Black,0
15000295,Black,0
15000315,Black,0
15000321,Black,0
15000359,Black,0
15000364,Black,0
15000366,Black,0
15000367,Black,0
15000385,Black,0
15000393,Black,0
15000405,Black,0
15000470,Black,0
15000471,Black,0
15000479,Black,0
15000483,Black,0
15000488,Black,0
15000498,Black,0
15000503,Black,0
15000506,Black,0
15000511,Black,0
15000525,Black,0
15000535,Black,0
15000536,Black,0
15000536,Black,0
15000544,Black,0
15000570,Black,0
15000573,Black,0
15000575,Black,0
15000629,Black,0
15000634,Black,0
15000655,Black,0
15000656,Black,0
15000656,Black,0
15000689,Black,0
15000726,Black,0
15000748,Black,0
15000756,Black,0
15000759,Black,0
15000762,Black,0
15000768,Black,0
15000778,Black,0
15000791,Black,0
15000650,Black,0
15000793,Black,0
15000795,Black,0
15000796,Black,0
15000797,Black,0
15000828,Black,0
15000720,Black,0
15000841,Black,0
15000850,Black,0
15000853,Black,0
15000858,Black,0
15000857,Black,0
15000862,Black,0
15000865,Black,0
15000720,Black,0
15000924,Black,0
15000720,Black,0
15000933,Black,0
15000942,Black,0
15000945,Black,0
15000962,Black,0
15000979,Black,0
15001000,Black,0
15001004,Black,0
15001041,Black,0
15001099,Black,0
15001108,Black,0
15001120,Black,0
15001138,Black,0
15001154,Black,0
15001201,Black,0
15001202,Black,0
15001207,Black,0
15001208,Black,0
15001199,Black,0
15001209,Black,0
15001214,Black,0
15001265,Black,0
15000600,Black,0
15001269,Black,0
15001288,Black,0
15001296,Black,0
15001313,Black,0
15001322,Black,0
15001338,Black,0
15001343,Black,0
15001414,Black,0
15001431,Black,0
15001437,Black,0
15001448,Black,0
15001466,Black,0
15001498,Black,0
15001500,Black,0
15001522,Black,0
15001557,Black,0
15001564,Black,0
15001607,Black,0
15001608,Black,0
15001610,Black,0
15001616,Black,0
15001621,Black,0
15001628,Black,0
15001589,Black,0
15001674,Black,0
15001678,Black,0
15001684,Black,0
15001705,Black,0
