ICR,Race,TwoBlocks
16002364,White,0
16002367,White,0
16002379,White,0
16002385,White,0
16002394,White,0
16002395,White,0
16002396,White,0
16002397,White,0
16002399,White,0
16002400,White,0
16002404,White,0
16002407,White,0
16002410,White,0
16002412,White,0
16002431,White,0
16002437,White,0
16002439,White,0
16002448,White,0
16002449,White,0
16002458,White,0
16002481,White,0
16002482,White,0
16002484,White,0
16002489,White,0
16002513,White,0
16002514,White,0
16002523,White,0
16002525,White,0
16002526,White,0
16002535,White,0
16002540,White,0
16002542,White,0
16002546,White,0
16002553,White,0
16002590,White,0
16002600,White,0
16002615,White,0
16002626,White,0
16002649,White,0
16002652,White,0
16002661,White,0
16002662,White,0
16002666,White,0
16002668,White,0
16002677,White,0
16002678,White,0
16002681,White,0
16002687,White,0
16002692,White,0
16002700,White,0
16002746,White,0
16002767,White,0
16002769,White,0
16002765,White,0
16002773,White,0
16002782,White,0
16002790,White,0
16002791,White,0
16002815,White,0
16002823,White,0
16002828,White,0
16002831,White,0
16002842,White,0
16002845,White,0
16002846,White,0
16002847,White,0
16002850,White,0
16002853,White,0
16002855,White,0
16002860,White,0
16002862,White,0
16002922,White,0
16002939,White,0
16002940,White,0
16002970,White,0
16002976,White,0
16002988,White,0
16002989,White,0
16002990,White,0
16003014,White,0
16003026,White,0
16003027,White,0
16003041,White,0
16003060,White,0
16003063,White,0
16003065,White,0
16003069,White,0
16003073,White,0
16003085,White,0
16003097,White,0
16003100,White,0
16003104,White,0
16003115,White,0
16003118,White,0
16003119,White,0
16003123,White,0
16003132,White,0
16003139,White,0
16003141,White,0
16003157,White,0
16003180,White,0
16003190,White,0
16003193,White,0
16003195,White,0
16003214,White,0
16003221,White,0
16003230,White,0
16003238,White,0
16003247,White,0
16003253,White,0
16003258,White,0
16003259,White,0
16003260,White,0
16003268,White,0
16003314,White,0
16003318,White,0
16003336,White,0
16003354,White,0
16003369,White,0
16003372,White,0
16003384,White,0
16003402,White,0
16003410,White,0
16003432,White,0
16003435,White,0
16003449,White,0
16003451,White,0
16003452,White,0
16003453,White,0
16003474,White,0
16003501,White,0
16003502,White,0
16003553,White,0
16003572,White,0
16003601,White,0
16003623,White,0
16003631,White,0
16003643,White,0
16003670,White,0
16003682,White,0
16003683,White,0
16003684,White,0
16003688,White,0
16003695,White,0
16003737,White,0
16003741,White,0
16003742,White,0
16003747,White,0
16003767,White,0
16003784,White,0
16003819,White,0
16003845,White,0
16003851,White,0
16003853,White,0
16003881,White,0
16003889,White,0
16003904,White,0
16003911,White,0
16003953,White,0
16003959,White,0
16003975,White,0
16003976,White,0
16003983,White,0
16003984,White,0
16003987,White,0
16003989,White,0
16003995,White,0
16004014,White,0
16004015,White,0
16004032,White,0
16004040,White,0
16004056,White,0
16004060,White,0
16004063,White,0
16004068,White,0
16004081,White,0
16004097,White,0
16004100,White,0
16004108,White,0
16004128,White,0
16004145,White,0
16004169,White,0
16004172,White,0
16004185,White,0
16004195,White,0
16004197,White,0
16004198,White,0
16004204,White,0
16004206,White,0
16004208,White,0
16004237,White,0
16004266,White,0
16004270,White,0
16004272,White,0
16004273,White,0
16004276,White,0
16004277,White,0
16004278,White,0
16004279,White,0
16004280,White,0
16004281,White,0
16004282,White,0
16004287,White,0
16004305,White,0
16004319,White,0
16004321,White,0
16004323,White,0
16004337,White,0
16004340,White,0
16004343,White,0
16004344,White,0
16004345,White,0
16004396,White,0
16004400,White,0
16004403,White,0
16004425,White,0
16004426,White,0
16004427,White,0
16004435,White,0
16004445,White,0
16004446,White,0
16004456,White,0
16004457,White,0
16004458,White,0
16004460,White,0
16004461,White,0
16004462,White,0
16004464,White,0
16004465,White,0
16004466,White,0
16004471,White,0
16004473,White,0
16004474,White,0
16004481,White,0
16004488,White,0
16004493,White,0
16004496,White,0
16004497,White,0
16004504,White,0
16004515,White,0
16004589,White,0
16004591,White,0
16004594,White,0
16004595,White,0
16004598,White,0
16004601,White,0
16004615,White,0
16004618,White,0
16004622,White,0
16004625,White,0
16004631,White,0
16004632,White,0
16004633,White,0
16004679,White,0
16004691,White,0
16004722,White,0
16004730,White,0
16004739,White,0
16004752,White,0
16004764,White,0
16004765,White,0
16004768,White,0
16004774,White,0
16004777,White,0
16004781,White,0
16004783,White,0
16004784,White,0
16004785,White,0
16004790,White,0
16004791,White,0
16004793,White,0
16004851,White,0
16004857,White,0
16004858,White,0
16004859,White,0
16004863,White,0
16004866,White,0
16004877,White,0
16004896,White,0
16004909,White,0
16004910,White,0
16004914,White,0
16004920,White,0
16004925,White,0
16004966,White,0
16004976,White,0
16004979,White,0
16004986,White,0
16005004,White,0
16005020,White,0
16005022,White,0
16005025,White,0
16005028,White,0
16005041,White,0
16005049,White,0
16005050,White,0
16005059,White,0
16005068,White,0
16005116,White,0
16005138,White,0
16005144,White,0
16005165,White,0
16005176,White,0
16005188,White,0
16005189,White,0
16005191,White,0
16005203,White,0
16005213,White,0
16005229,White,0
16005245,White,0
16005258,White,0
16005267,White,0
16005275,White,0
16005276,White,0
16005278,White,0
16005298,White,0
16005313,White,0
16005357,White,0
16005361,White,0
16005363,White,0
16005372,White,0
